 twitter_handle,Source,Type,Domain,Rating,Score,Country,Language,target_user_id,followers
DrMichaelMurray,https://twitter.com/DrMichaelMurray,TWITTER,doctormurray.com,N,12.5,US,en,235208822,2221.0
DowntrendCom,https://twitter.com/downtrendcom,TWITTER,downtrend.com,N,7.5,US,en,2202598633,1333.0
drjoshaxe,https://twitter.com/drjoshaxe,TWITTER,draxe.com,N,40.0,US,en,38472669,42937.0
DrEddyClinic,https://twitter.com/dreddyclinic,TWITTER,dreddymd.com,N,7.5,US,en,15645871,244086.0
djockers5,https://twitter.com/djockers5,TWITTER,drjockers.com,N,20.0,US,en,76650226,2088.0
DrChrisNorthrup,https://twitter.com/drchrisnorthrup,TWITTER,drnorthrup.com,N,35.0,US,en,114807372,125391.0
drsircus,https://twitter.com/drsircus,TWITTER,drsircus.com,N,27.5,US,en,55580205,2228.0
EasternHerald,https://twitter.com/easternherald/,TWITTER,easternherald.com,N,5.0,US,en,532048883,560.0
elamerican,https://twitter.com/ElAmerican_,TWITTER,elamerican.com,N,57.0,US,en,200987317,15.0
Electroversenet,https://twitter.com/Electroversenet,TWITTER,electroverse.co,N,25.0,US,en,1018425398869282817,28381.0
IA_Journal_,https://twitter.com/IA_Journal_,TWITTER,en.interaffairs.ru,N,32.5,US,en,1019946132368216064,950.0
IrnaEnglish,https://twitter.com/IrnaEnglish,TWITTER,en.irna.ir,N,7.5,US,en,813279088865644544,56731.0
MehrnewsCom,https://twitter.com/MehrnewsCom,TWITTER,en.mehrnews.com,N,5.0,US,en,1038972096,24196.0
PDChina,https://twitter.com/PDChina,TWITTER,en.people.cn,N,39.5,US,en,303862998,6654033.0
aawsat_eng,https://twitter.com/aawsat_eng?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TWITTER,english.aawsat.com,N,39.5,US,en,224430095,139783.0
AlArabiya_Eng,https://twitter.com/AlArabiya_Eng,TWITTER,english.alarabiya.net,N,39.5,US,en,22240612,934519.0
MayadeenEnglish,https://twitter.com/MayadeenEnglish,TWITTER,english.almayadeen.net,N,30.0,US,en,1295405245011460096,49472.0
CCTV,https://twitter.com/CCTV,TWITTER,english.cctv.com,N,44.5,US,en,56644534,1030261.0
XHNews,https://twitter.com/XHNews,TWITTER,english.news.cn,N,7.5,US,en,487118986,11979057.0
PravdaRu,https://twitter.com/PravdaRu,TWITTER,english.pravda.ru,N,17.5,US,en,34209920,92217.0
Evie_Magazine,https://twitter.com/evie_magazine,TWITTER,eviemagazine.com,N,12.5,US,en,1070137173054291968,38736.0
WTFfacts,https://www.twitter.com/wtffacts,TWITTER,factswt.com,N,52.0,US,en,344431345,547.0
faithfamilyusa,https://www.twitter.com/FaithFamilyUSA,TWITTER,faithfamilyamerica.com,N,39.5,US,en,864813532407361536,15.0
FinishTheRace,https://twitter.com/FinishTheRace,TWITTER,finishtherace.com,N,12.5,US,en,2559110916,5239.0
FL_Daily,https://twitter.com/fl_daily,TWITTER,floridadaily.com,N,44.5,US,en,1008376462506971136,1101.0
FocusFamily,https://twitter.com/FocusFamily,TWITTER,focusonthefamily.com,N,57.0,US,en,111704438,109433.0
TheRealFrankSp1,https://twitter.com/TheRealFrankSp1,TWITTER,frankspeech.com,N,15.0,US,en,1428076295007703043,4989.0
freedomfirstnet,https://twitter.com/freedomfirstnet,TWITTER,freedomfirstnetwork.com,N,12.5,US,en,1254822389981970435,11065.0
FreedomsPhoenix,https://twitter.com/freedomsphoenix,TWITTER,freedomsphoenix.com,N,17.5,US,en,22727234,3829.0
freetelegraph,https://twitter.com/freetelegraph,TWITTER,freetelegraph.com,N,39.5,US,en,883382034638540803,33219.0
FrontlineNewsUS,https://twitter.com/FrontlineNewsUS,TWITTER,frontline.news,N,12.5,US,en,1592188700787707906,2135.0
horowitz39,https://twitter.com/horowitz39,TWITTER,frontpagemag.com,N,30.0,US,en,187578616,82863.0
fpmag,https://twitter.com/fpmag,TWITTER,frontpagemag.com,N,30.0,US,en,89485180,11676.0
FunkerActual,https://twitter.com/funkeractual,TWITTER,funker530.com,N,44.5,US,en,243036224,46437.0
GanderNewsroom,https://twitter.com/GanderNewsroom,TWITTER,gandernewsroom.com,N,57.0,US,en,1214914228714430465,5237.0
GatestoneInst,https://www.twitter.com/GatestoneInst,TWITTER,gatestoneinstitute.org,N,57.0,US,en,131249283,37009.0
PamelaGeller,https://twitter.com/pamelageller,TWITTER,gellerreport.com,N,10.0,US,en,15669672,181477.0
RealGeoEngWatch,https://twitter.com/RealGeoEngWatch,TWITTER,geoengineeringwatch.org,N,30.0,US,en,702608032845451264,21328.0
GeoengineeringW,https://twitter.com/GeoengineeringW,TWITTER,geoengineeringwatch.org,N,30.0,US,en,1586890416506347522,940.0
GeopoliticaEcon,https://twitter.com/GeopoliticaEcon,TWITTER,geopoliticaleconomy.com,N,17.5,US,en,878361393312956416,39487.0
GeopolitikaEN,https://twitter.com/GeopolitikaEN,TWITTER,geopolitika.ru,N,20.0,US,en,1684841268956868609,809.0
GA_Record,https://twitter.com/GA_Record,TWITTER,georgiarecord.com,N,20.0,US,en,1585618712345935876,933.0
newtgingrich,https://twitter.com/newtgingrich,TWITTER,gingrich360.com,N,49.5,US,en,20713061,2366179.0
glennbeck,https://twitter.com/glennbeck,TWITTER,glennbeck.com,N,44.5,US,en,17454769,1814725.0
globaltimesnews,https://twitter.com/globaltimesnews,TWITTER,globaltimes.cn,N,39.5,US,en,49616273,1892826.0
goop,https://twitter.com/goop,TWITTER,goop.com,N,22.5,US,en,292250240,97384.0
GrabienMedia,https://twitter.com/grabienmedia,TWITTER,grabien.com,N,44.5,US,en,486289771,10422.0
GraniteGrok,https://twitter.com/GraniteGrok,TWITTER,granitegrok.com,N,37.5,US,en,18176382,2129.0
GreatGameIndia,https://twitter.com/GreatGameIndia,TWITTER,greatgameindia.com,N,5.0,US,en,2423370157,26883.0
greenmedinfo,https://twitter.com/greenmedinfo,TWITTER,greenmedinfo.com,N,30.0,US,en,1608576778372521984,273.0
GreenWWarriors,https://twitter.com/GreenWWarriors,TWITTER,greenworldwarriors.com,N,57.5,US,en,812230714632663040,895.0
Greg_Palast,https://twitter.com/Greg_Palast,TWITTER,gregpalast.com,N,49.5,US,en,15450660,81406.0
seanhannity,https://twitter.com/SeanHannity,TWITTER,hannity.com,N,39.5,US,en,41634520,6505847.0
_HealingOracle_,https://twitter.com/_HealingOracle_,TWITTER,healingoracle.ch,N,20.0,US,en,770700673688088577,368.0
HealthyNews2day,https://twitter.com/HealthyNews2day,TWITTER,healthimpactnews.com,N,12.5,US,en,236696328,51937.0
unhealthytruth,https://twitter.com/unhealthytruth,TWITTER,healthnutnews.com,N,20.0,US,en,18093097,165095.0
natureheals,https://twitter.com/natureheals,TWITTER,healthy-holistic-living.com,N,22.5,US,en,19920143,8970.0
HealthyFood999,https://twitter.com/healthyfood999,TWITTER,healthyfoodhouse.com,N,20.0,US,en,870283075,1905.0
HeartlandInst,https://twitter.com/heartlandinst,TWITTER,heartland.org,N,30.0,US,en,17850268,16611.0
herbhealthhappy,https://twitter.com/herbhealthhappy?lang=en,TWITTER,herbshealthhappiness.com,N,22.5,US,en,1297154054,2287.0
HIT_Evidence,https://twitter.com/HIT_Evidence,TWITTER,hereistheevidence.com,N,7.5,US,en,1262840135659503619,1999.0
homenaturalcure,https://twitter.com/homenaturalcure,TWITTER,homenaturalcures.com,N,35.0,US,en,101395336,1251.0
hrtwarming,https://twitter.com/hrtwarming,TWITTER,hrtwarming.com,N,52.0,US,en,2711064734,368.0
humanrights_ir,https://twitter.com/humanrights_ir,TWITTER,humanrights.eadl.ir,N,15.0,US,en,917259934940704768,291.0
ICANdecide,https://twitter.com/ICANdecide,TWITTER,icandecide.org,N,12.5,US,en,850425860800692225,64394.0
IdahoTribune,https://twitter.com/IdahoTribune,TWITTER,idahotribune.org,N,52.0,US,en,1370259486661767169,5522.0
IranFrontPage,https://twitter.com/iranfrontpage,TWITTER,ifpnews.com,N,52.0,US,en,2387887890,18479.0
ichudov,https://twitter.com/ichudov?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TWITTER,igor-chudov.com,N,20.0,US,en,26239840,36495.0
BuckSexton,https://twitter.com/BuckSexton,TWITTER,independentchronicle.com,N,39.5,US,en,334715818,1070952.0
indiesentinel,https://www.twitter.com/indiesentinel,TWITTER,independentsentinel.com,N,30.0,US,en,270441409,7548.0
infolibnews,https://www.twitter.com/infolibnews,TWITTER,informationliberation.com,N,39.5,US,en,109640315,5903.0
intellectualTO,https://twitter.com/intellectualTO,TWITTER,intellectualtakeout.org,N,44.5,US,en,18637344,11117.0
interfax_news,https://twitter.com/interfax_news,TWITTER,interfax.com,N,47.0,US,en,147964447,575279.0
Intl_Highlife,https://www.twitter.com/intl_highlife,TWITTER,internationalhighlife.com,N,39.5,US,en,1129386732,341976.0
InvestWatchBlog,https://twitter.com/InvestWatchBlog,TWITTER,investmentwatchblog.com,N,32.0,US,en,112902058,3434.0
IAStartingLine,https://twitter.com/iastartingline,TWITTER,iowastartingline.com,N,57.0,US,en,2940964728,35890.0
lifebiomedguru,https://twitter.com/lifebiomedguru,TWITTER,jameslyonsweiler.com,N,12.5,US,en,20336210,46665.0
JesusDaily,https://twitter.com/jesusdaily,TWITTER,jesusdaily.com,N,52.0,US,en,29608684,13744.0
jihadwatchRS,https://twitter.com/jihadwatchRS,TWITTER,jihadwatch.org,N,22.5,US,en,19985444,251796.0
JimBakkerShow,https://twitter.com/JimBakkerShow,TWITTER,jimbakkershow.com,N,17.5,US,en,21064667,7214.0
realJoeHoft,https://twitter.com/realJoeHoft,TWITTER,joehoft.com,N,10.0,US,en,1663885502540398595,1553.0
JudicialWatch,https://www.twitter.com/JudicialWatch,TWITTER,judicialwatch.org,N,57.0,US,en,18247062,2120707.0
