"","target_user_id","twitter_handle","fib_index","total_reshares","Source","Type","Domain","Rating","Score","Country","Language","followers","total_followers","cumulative_followers","percentage_cumulative_followers"
"1461","1594316181749788673","Sapnakhatri16_",17,635,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",174,729856343,729853926,100
"1462","911279861229948933","NVSenateUpdates",NA,NA,"https://twitter.com/NVSenateUpdates/","TWITTER","nevadasenateupdates.com","N",37,"US","en",169,729856343,729854095,100
"1463","960441026656776192","curiousmindmag",NA,NA,"https://twitter.com/curiousmindmag","TWITTER","curiousmindmagazine.com","N",17.5,"US","en",152,729856343,729854247,100
"1464","928095381203881985","2ADaily",NA,NA,"https://twitter.com/2ADaily","TWITTER","secondamendmentdaily.com","N",12.5,"US","en",135,729856343,729854382,100
"1465","1329195462398603264","NewsSurvive",NA,NA,"https://x.com/NewsSurvive?s=20","TWITTER","survivethenews.com","N",0,"US","en",128,729856343,729854510,100
"1466","1198616515488169985","TheTentacle1",NA,NA,"https://twitter.com/TheTentacle1","TWITTER","thetentacle.com","N",25,"US","en",123,729856343,729854633,100
"1467","1181334463550283777","MiMighty",NA,NA,"https://twitter.com/MiMighty","TWITTER","mightymichigan.com","N",39.5,"US","en",118,729856343,729854751,100
"1468","131294264","SteveRotter",NA,NA,"https://x.com/SteveRotter?s=20","TWITTER","steverotter.com","N",7.5,"US","en",97,729856343,729854848,100
"1469","1376613818835460098","flcapitalstar",NA,NA,"https://twitter.com/flcapitalstar","TWITTER","theconnecticutstar.com","N",40,"US","en",90,729856343,729854938,100
"1470","1453031999611064323","PADailyStar",NA,NA,"https://twitter.com/PADailyStar","TWITTER","theconnecticutstar.com","N",40,"US","en",78,729856343,729855016,100
"1471","937799852276064256","patriot_raging",NA,NA,"https://twitter.com/patriot_raging","TWITTER","americanpatriot.news","N",57,"US","en",77,729856343,729855093,100
"1472","2275780065","NewsWndr",NA,NA,"https://twitter.com/newswndr","TWITTER","worldnewsdailyreport.com","N",20,"US","en",75,729856343,729855168,100
"1473","1851981150","TnA1776",NA,NA,"https://twitter.com/tna1776","TWITTER","truthandaction.org","N",7.5,"US","en",73,729856343,729855241,100
"1474","4436681533","joinvaxxter",NA,NA,"https://twitter.com/joinvaxxter","TWITTER","vaxxter.com","N",35,"US","en",64,729856343,729855305,100
"1475","1428066441572454402","WIDailyStar",NA,NA,"https://twitter.com/WIDailyStar","TWITTER","theconnecticutstar.com","N",40,"US","en",63,729856343,729855368,100
"1476","759821534684905472","SvidokInfo",NA,NA,"https://twitter.com/SvidokInfo","TWITTER","svidok.info","N",57.5,"US","en",58,729856343,729855426,100
"1477","595644255","ClashDailyCom",NA,NA,"https://twitter.com/clashdailycom","TWITTER","clashdaily.com","N",42,"US","en",54,729856343,729855480,100
"1478","1246619413987471360","thelatribune",NA,NA,"https://twitter.com/thelatribune","TWITTER","thelosangelestribune.com","N",52,"US","en",53,729856343,729855533,100
"1479","836643708313403393","RedBlueDivide",NA,NA,"https://twitter.com/RedBlueDivide","TWITTER","redbluedivide.com","N",32,"US","en",50,729856343,729855583,100
"1480","3668805255","TimesVision",NA,NA,"https://twitter.com/TimesVision","TWITTER","visiontimes.com","N",44.5,"US","en",47,729856343,729855630,100
"1481","908716191614738432","maineexaminer",NA,NA,"https://twitter.com/maineexaminer","TWITTER","maineexaminer.com","N",47,"US","en",45,729856343,729855675,100
"1482","986339862453288961","dctribune",NA,NA,"https://twitter.com/dctribune","TWITTER","dctribune.org","N",32,"US","en",45,729856343,729855720,100
"1483","1247535087886823427","CRBeyond",NA,NA,"https://twitter.com/CRBeyond","TWITTER","consciousreminder.com","N",42,"US","en",44,729856343,729855764,100
"1484","1708468515592667136","Stewpeters1132",NA,NA,"https://x.com/Stewpeters1132?s=20","TWITTER","stewpeters.com","N",7.5,"US","en",43,729856343,729855807,100
"1485","1463323379537117187","rushlimbaugh",NA,NA,"https://twitter.com/rushlimbaugh","TWITTER","rushlimbaugh.com","N",12.5,"US","en",40,729856343,729855847,100
"1486","1461593994157199360","american_mirror",NA,NA,"https://twitter.com/American_Mirror","TWITTER","theamericanmirror.com","N",22,"US","en",37,729856343,729855884,100
"1487","1491524880323465220","YikesToday",NA,NA,"https://twitter.com/yikestoday","TWITTER","yikestoday.com","N",22,"US","en",37,729856343,729855921,100
"1488","814858130978996224","UpliftingToday",NA,NA,"https://www.twitter.com/UpliftingToday","TWITTER","upliftingtoday.com","N",50,"US","en",37,729856343,729855958,100
"1489","1473889073077141510","NewsLiveFree",NA,NA,"https://twitter.com/NewsLiveFree/","TWITTER","newslive.com","N",44.5,"US","en",32,729856343,729855990,100
"1490","1265323694173413378","RespectNH",NA,NA,"https://twitter.com/RespectNH","TWITTER","respectnh.com","N",52,"US","en",29,729856343,729856019,100
"1491","1440473945459740676","rightwingalert",NA,NA,"https://twitter.com/rightwingalert","TWITTER","rightwingtribune.com","N",40,"US","en",29,729856343,729856048,100
"1492","1640687231013625859","ReviewOrie45124",NA,NA,"https://twitter.com/ReviewOrie45124","TWITTER","orientalreview.org","N",12.5,"US","en",27,729856343,729856075,100
"1493","1199400063086272513","LancasterCouri1",NA,NA,"https://www.twitter.com/lancastercouri1","TWITTER","lancastercourier.com","N",52.5,"US","en",25,729856343,729856100,100
"1494","335960595","usnewson",NA,NA,"https://twitter.com/usnewson","TWITTER","usnewson.com","N",44.5,"US","en",23,729856343,729856123,100
"1495","1029527676833419265","TheMichiganStar",NA,NA,"https://twitter.com/themichiganstar","TWITTER","theconnecticutstar.com","N",40,"US","en",19,729856343,729856142,100
"1496","1042447153170309120","QNationUS",NA,NA,"https://x.com/QNationUS?s=20","TWITTER","qnation.us","N",20,"US","en",19,729856343,729856161,100
"1497","1586163728655220736","Unshackled_QE",NA,NA,"https://x.com/Unshackled_QE?s=20","TWITTER","unshackledminds.com","N",0,"US","en",18,729856343,729856179,100
"1498","1879257745","Worldtruthtvs",NA,NA,"https://www.youtube.com/c/EddieWorldTruthTV/videos","TWITTER","worldtruth.tv","N",7.5,"US","en",17,729856343,729856196,100
"1499","867759412198477829","SoShareThis",NA,NA,"https://twitter.com/SoShareThis","TWITTER","sosharethis.com","N",49.5,"US","en",16,729856343,729856212,100
"1500","200987317","elamerican",NA,NA,"https://twitter.com/ElAmerican_","TWITTER","elamerican.com","N",57,"US","en",15,729856343,729856227,100
"1501","864813532407361536","faithfamilyusa",NA,NA,"https://www.twitter.com/FaithFamilyUSA","TWITTER","faithfamilyamerica.com","N",39.5,"US","en",15,729856343,729856242,100
"1502","1275093660804222977","AriseOhio",NA,NA,"https://twitter.com/AriseOhio","TWITTER","ariseohio.com","N",39.5,"US","en",13,729856343,729856255,100
"1503","1359114643655036931","Russia_Main",NA,NA,"https://twitter.com/Russia_Main","TWITTER","ru-main.ru","N",12.5,"US","en",12,729856343,729856267,100
"1504","992121772450484224","TheMODownload",NA,NA,"https://twitter.com/TheMODownload","TWITTER","missouridownload.com","N",47,"US","en",12,729856343,729856279,100
"1505","1284584906857877506","thehealthguy",NA,NA,"https://twitter.com/thehealthguy","TWITTER","naturalhealth365.com","N",7.5,"US","en",11,729856343,729856290,100
"1506","1582939922259812352","respect_stories",NA,NA,"https://x.com/respect_stories?s=20","TWITTER","respectidaho.com","N",52,"US","en",9,729856343,729856299,100
"1507","2446935385","AFF_PATRIOT",NA,NA,"https://twitter.com/AFF_PATRIOTS","TWITTER","americasfreedomfighters.com","N",0,"US","en",9,729856343,729856308,100
"1508","1497004479169712129","ConnecticutStar",NA,NA,"https://twitter.com/ConnecticutStar","TWITTER","theconnecticutstar.com","N",40,"US","en",8,729856343,729856316,100
"1509","1596469960708165632","NeonNettle",NA,NA,"https://twitter.com/NeonNettle","TWITTER","neonnettle.com","N",52,"US","en",7,729856343,729856323,100
"1510","1192856031069528064","MagaVoter",NA,NA,"https://twitter.com/MAGAVoter","TWITTER","magavoter.com","N",47,"US","en",6,729856343,729856329,100
"1511","1046311936944558082","OopstopC",NA,NA,"https://twitter.com/oopstopc","TWITTER","oopstop.com","N",7.5,"US","en",5,729856343,729856334,100
