"",target_user_id,twitter_handle,fib_index,total_reshares,Source,Type,Domain,Rating,Score,Country,Language,followers
1497,86177206,TPPatriots,12.0,1278.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498,863527548,steve_hanke,17.0,1536.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499,86378821,JJDJ1187,12.0,1097.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500,864813532407361536,faithfamilyusa,NaN,NaN,https://www.twitter.com/FaithFamilyUSA,TWITTER,faithfamilyamerica.com,N,39.5,US,en,15.0
1501,865363591523729413,Andy_An888,12.0,546.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502,867738228937416705,HowardSteen4,11.0,498.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1503,867759412198477829,SoShareThis,NaN,NaN,https://twitter.com/SoShareThis,TWITTER,sosharethis.com,N,49.5,US,en,16.0
1504,870283075,HealthyFood999,NaN,NaN,https://twitter.com/healthyfood999,TWITTER,healthyfoodhouse.com,N,20.0,US,en,1905.0
1505,872152117,DaisyLuther,NaN,NaN,https://twitter.com/DaisyLuther,TWITTER,theorganicprepper.com,N,20.0,US,en,2908.0
1506,87282944,viniciuscfp82,11.0,9119.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1507,873827305,brenda_spiller,14.0,693.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1508,874934116592099328,RienNavelpluis,13.0,722.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1509,875663233738313728,white_arrow_uk,11.0,310.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1510,875856268056969216,DC_Draino,52.0,298996.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1511,876046048023769088,StudioAdmin,14.0,1419.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1512,87775422,ChinaDaily,18.0,3029.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1513,878225881,WildlifeRefugee,13.0,669.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1514,878284831,OccupyDemocrats,125.0,51507.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1515,878301356532146176,Providr,NaN,NaN,https://www.twitter.com/providr,TWITTER,providr.com,N,59.5,US,en,199.0
1516,878361393312956416,GeopoliticaEcon,NaN,NaN,https://twitter.com/GeopoliticaEcon,TWITTER,geopoliticaleconomy.com,N,17.5,US,en,39487.0
1517,8793352,brandootr,29.0,2153.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518,880427352,Elvin_Unleashed,14.0,605.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1519,880827818690490368,kimura_kenchin,17.0,1040.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1520,881487888218808320,Jrg52192342,11.0,1034.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1521,883382034638540803,freetelegraph,NaN,NaN,https://twitter.com/freetelegraph,TWITTER,freetelegraph.com,N,39.5,US,en,33219.0
1522,884280375861587968,JoTrumpCA,19.0,1599.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1523,885283199307436032,LSNCatholic,18.0,1177.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1524,888492016010764288,fordmb1,20.0,1352.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1525,888591782153338880,RichardStiller4,13.0,1057.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1526,889344030781452290,CovertActionMag,NaN,NaN,https://twitter.com/CovertActionMag,TWITTER,covertactionmagazine.com,N,25.0,US,en,15269.0
1527,889831292623360000,CoffindafferFBI,13.0,573.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1528,890966759485788160,ConDailyPost,NaN,NaN,https://twitter.com/ConDailyPost/,TWITTER,conservativedailypost.com,N,5.0,US,en,687.0
1529,893872174867656706,PoliticalDig,NaN,NaN,https://twitter.com/PoliticalDig,TWITTER,politicaldig.com,N,39.5,US,en,408.0
1530,89485180,fpmag,NaN,NaN,https://twitter.com/fpmag,TWITTER,frontpagemag.com,N,30.0,US,en,11676.0
1531,895118100,JohnBoweActor,13.0,5095.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1532,895286614431346688,Lowcountry1Girl,27.0,1712.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1533,896022524227538944,1028WINWIN_TH,16.0,672.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1534,896466491587080194,greg_price11,16.0,111574.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1535,89732309,bainjal,14.0,893.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1536,898759943393816576,MyDCPatriot,NaN,NaN,https://x.com/MyDCPatriot?s=20,TWITTER,thedcpatriot.com,N,0.0,US,en,46528.0
1537,898759943393816576,americafirstmg,31.0,4124.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1538,900021957424447488,VernonForGA,11.0,705.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1539,900346289044414464,republic_glitz,35.0,15174.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1540,902178672626593793,TommyPigott,41.0,6577.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1541,902200087,CassandraRules,11.0,403.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1542,903953910,SandraSBreen,16.0,1541.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1543,905092134,dailyhealthpost,NaN,NaN,https://twitter.com/dailyhealthpost,TWITTER,dailyhealthpost.com,N,20.0,US,en,9353.0
1544,905153319253004288,groth1945,34.0,2543.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1545,905473078070738947,Eunhae0404_1510,57.0,9691.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1546,906273810248196097,_taylorhudak,11.0,1940.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1547,90651198,GregAbbott_TX,14.0,25810.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1548,908716191614738432,maineexaminer,NaN,NaN,https://twitter.com/maineexaminer,TWITTER,maineexaminer.com,N,47.0,US,en,45.0
1549,910321692995600385,soonyunqi,31.0,2902.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1550,911279861229948933,NVSenateUpdates,NaN,NaN,https://twitter.com/NVSenateUpdates/,TWITTER,nevadasenateupdates.com,N,37.0,US,en,169.0
1551,91202632,ukcolumn,39.0,5477.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1552,912743253828624384,thetechstartups,NaN,NaN,https://twitter.com/thetechstartups,TWITTER,techstartups.com,N,44.5,US,en,814.0
1553,91552706,20minut_zh,NaN,NaN,https://x.com/20minut_zh?s=20,TWITTER,zt.20minut.ua,N,55.0,US,en,304.0
1554,91583544,NickAdamsinUSA,NaN,NaN,https://twitter.com/nickadamsinusa,TWITTER,nickadamsusa.com,N,44.5,US,en,547210.0
1555,916114570833551360,Beard_Vet,17.0,1535.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1556,917259934940704768,humanrights_ir,NaN,NaN,https://twitter.com/humanrights_ir,TWITTER,humanrights.eadl.ir,N,15.0,US,en,291.0
1557,91726226,SMObserved,NaN,NaN,https://twitter.com/smobserved,TWITTER,smobserved.com,N,37.0,US,en,1702.0
1558,917683048782503937,michaelxpettis,11.0,358.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1559,91882544,DineshDSouza,59.0,53487.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1560,92292805,OracleFilmsUK,13.0,6176.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1561,923598564206530560,RPLibertyReport,NaN,NaN,https://x.com/RPLibertyReport?s=20,TWITTER,ronpaullibertyreport.com,N,35.0,US,en,3228.0
1562,925360166878564354,H30w12t17,21.0,1624.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563,926729971858595841,TWPundit,NaN,NaN,https://www.twitter.com/twpundit,TWITTER,thewashingtonpundit.com,N,37.5,US,en,34184.0
1564,928095381203881985,2ADaily,NaN,NaN,https://twitter.com/2ADaily,TWITTER,secondamendmentdaily.com,N,12.5,US,en,135.0
1565,931192352940621824,TruBlackPhoenix,12.0,641.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1566,934049237628841984,AKA_RealDirty,29.0,4987.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1567,934399189,Ruptly,NaN,NaN,https://twitter.com/Ruptly,TWITTER,ruptly.tv,N,12.5,US,en,112065.0
1568,935093530036387841,DCsolar221,16.0,1183.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1569,935942321756966912,RealAmVoice,62.0,25013.0,https://twitter.com/RealAmVoice,TWITTER,americasvoice.news,N,25.0,US,en,245123.0
1570,937799852276064256,patriot_raging,NaN,NaN,https://twitter.com/patriot_raging,TWITTER,americanpatriot.news,N,57.0,US,en,77.0
1571,938687642,NewAgeBDcom,NaN,NaN,https://twitter.com/NewAgeBDcom,TWITTER,newagebd.net,N,35.0,US,en,103742.0
1572,940430173517811714,intheMatrixxx,12.0,547.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1573,94120026,naoyafujiwara,65.0,14886.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574,943170877071470592,statesnewsroom,NaN,NaN,https://twitter.com/statesnewsroom,TWITTER,newsfromthestates.com,N,57.0,US,en,16420.0
1575,943413114959052800,renminions,11.0,5198.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1576,94784682,JonathanTurley,56.0,34102.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1577,95092020,jordanbpeterson,32.0,15806.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1578,951165164,t_d_h_nair,14.0,3975.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1579,952364011,ancientorigins,55.0,14326.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1580,952820189191536641,XisMoments,11.0,700.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1581,953595964153106433,Screwpulas,13.0,799.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1582,954124423,AmyMek,92.0,88747.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1583,95588504,amitmalviya,12.0,1945.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1584,958404232587108352,SantaSurfing,24.0,1708.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585,95994080,Lukewearechange,27.0,14467.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586,959983126817755136,JimLongo63,12.0,488.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1587,960441026656776192,curiousmindmag,NaN,NaN,https://twitter.com/curiousmindmag,TWITTER,curiousmindmagazine.com,N,17.5,US,en,152.0
1588,961134787,TheRealKeean,114.0,83436.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1589,962474950379560962,SteveInmanVoice,25.0,2231.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1590,96502351,WendyRogersAZ,23.0,1717.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1591,967729215721402368,PlanetTodayNews,NaN,NaN,https://x.com/PlanetTodayNews?s=20,TWITTER,planet-today.com,N,12.5,US,en,281.0
1592,968283662,FormerFeds,15.0,944.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1593,96906231,thevivafrei,39.0,12823.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1594,969664911046426624,MorigeauJanine,38.0,5839.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1595,97054224,OzraeliAvi,27.0,247927.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1596,970842528541896704,GF_Saihate,68.0,39526.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1597,972978420,xAlphaWarriorx,16.0,687.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1598,974435384271630336,litecoin_bull,18.0,849.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1599,975200486,RepThomasMassie,23.0,15217.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600,976564489,conserveangle,NaN,NaN,https://twitter.com/conserveangle,TWITTER,conservativeangle.com,N,7.5,US,en,628.0
1601,977235875703803904,TheRightNewsNow,NaN,NaN,https://x.com/TheRightNewsNow?s=20,TWITTER,rightnewsnow.org,N,44.5,US,en,2132.0
1602,98583506,latimeralder,14.0,452.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603,986339862453288961,dctribune,NaN,NaN,https://twitter.com/dctribune,TWITTER,dctribune.org,N,32.0,US,en,45.0
1604,987288415858319360,IrexitFreedom,16.0,1036.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1605,9890492,peta,NaN,NaN,https://www.twitter.com/peta,TWITTER,peta.org,N,57.0,US,en,1070713.0
1606,98956941,afbranco,17.0,1234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
