"",Unnamed: 0,target_user_id,twitter_handle,fib_index,total_reshares,Source,Type,Domain,Rating,Score,Country,Language,followers
428,428,2848616367,AnonymousNewsHQ,NaN,NaN,https://twitter.com/AnonymousNewsHQ,TWITTER,anonhq.com,N,44.5,US,en,24768.0
429,429,286358221,UnleashMind,NaN,NaN,https://twitter.com/unleashmind,TWITTER,themindunleashed.com,N,57.0,US,en,13034.0
430,430,287413569,RonPaul,87.0,33717.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
431,431,2876905581,Russia_Truth,NaN,NaN,https://twitter.com/Russia_Truth,TWITTER,russiatruth.co,N,7.5,US,en,3892.0
432,432,2891241164,shitexpress,NaN,NaN,https://x.com/shitexpress?s=20,TWITTER,prankmania.com,N,20.0,US,en,1093.0
433,433,289420613,naomirwolf,68.0,35305.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
434,434,2908170952,DiamondandSilk,41.0,8890.0,https://twitter.com/DiamondandSilk,TWITTER,diamondandsilk.com,N,52.0,US,en,2122149.0
435,435,29097819,EpochTimes,NaN,NaN,https://twitter.com/EpochTimes,TWITTER,theepochtimes.com,N,17.5,US,en,764675.0
436,436,292250240,goop,NaN,NaN,https://twitter.com/goop,TWITTER,goop.com,N,22.5,US,en,97384.0
437,437,292929271,charliekirk11,NaN,NaN,https://twitter.com/charliekirk11,TWITTER,charliekirk.com,N,10.0,US,en,2795915.0
438,438,2940964728,IAStartingLine,NaN,NaN,https://twitter.com/iastartingline,TWITTER,iowastartingline.com,N,57.0,US,en,35890.0
439,439,29608684,JesusDaily,NaN,NaN,https://twitter.com/jesusdaily,TWITTER,jesusdaily.com,N,52.0,US,en,13744.0
440,440,29733324,YourNewsMedia,NaN,NaN,https://twitter.com/YourNewsMedia,TWITTER,yournews.com,N,7.5,US,en,351.0
441,441,2993959370,Streamdotorg,NaN,NaN,https://twitter.com/Streamdotorg,TWITTER,stream.org,N,27.5,US,en,16379.0
442,442,3016071993,LifeZette,NaN,NaN,https://twitter.com/LifeZette,TWITTER,lifezette.com,N,37.0,US,en,25759.0
443,443,303862998,PDChina,NaN,NaN,https://twitter.com/PDChina,TWITTER,en.people.cn,N,39.5,US,en,6654033.0
444,444,304123273,ArchKennedy,68.0,8515.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
445,445,3041775900,AlphaNewsMN,37.0,5630.0,https://twitter.com/alphanewsmn,TWITTER,alphanews.org,N,49.5,US,en,51898.0
446,446,3065576725,SM_NCT,62.0,11458.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
447,447,3066129832,TheNatPulse,NaN,NaN,https://twitter.com/TheNatPulse,TWITTER,thenationalpulse.com,N,7.5,US,en,76475.0
448,448,3091150576,trtworld,NaN,NaN,https://twitter.com/trtworld,TWITTER,trtworld.com,N,39.5,US,en,582117.0
449,449,309587728,ABridgen,32.0,85001.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450,450,3145127635,aSciEnthusiast,NaN,NaN,https://twitter.com/ascienthusiast,TWITTER,ascienceenthusiast.com,N,55.0,US,en,19150.0
452,452,317385247,iheartmindy,52.0,27007.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
453,453,321954654,kylenabecker,109.0,135191.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
454,454,3233513666,ConservPost,NaN,NaN,https://twitter.com/conservpost,TWITTER,conservativepost.com,N,39.5,US,en,417.0
455,455,3244343936,R_republic_411,NaN,NaN,https://twitter.com/R_republic_411,TWITTER,restoredrepublic.co,N,7.5,US,en,3864.0
456,456,32867753,silvano_trotta,48.0,34987.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
457,457,3304499628,stephphilip8,83.0,17159.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
458,458,3312017672,theBerniePost,NaN,NaN,https://twitter.com/theBerniePost,TWITTER,berniepost.com,N,39.5,US,en,2614.0
459,459,3326947147,Prntly,NaN,NaN,https://x.com/Prntly?s=20,TWITTER,prntly.com,N,12.5,US,en,438.0
460,460,333357345,Cobratate,47.0,106866.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
